date,open,close,high,low,volume,symbol
2021-05-30,34627.81,35669.44,36500.0,33333.0,16038.94658082,BTC/USD
2021-05-29,35680.48,34627.82,37325.0,33650.86,27999.15073256,BTC/USD
2021-05-28,38556.88,35680.47,38900.0,34688.0,36231.72333985,BTC/USD
2021-05-27,39293.23,38556.88,40440.95,37191.99,19390.89447264,BTC/USD
2021-05-26,38361.81,39293.23,40900.0,37837.36,25107.68631485,BTC/USD
2021-05-25,38874.53,38361.81,39878.51,36481.26,26107.55687287,BTC/USD
2021-05-24,34758.88,38878.56,39966.87,34407.17,44419.45827713,BTC/USD
2021-05-23,37476.84,34758.67,38319.36,31111.0,53433.30296532,BTC/USD
2021-05-22,37333.09,37476.83,38889.76,35257.52,29239.02738254,BTC/USD
2021-05-21,40623.24,37340.77,42275.99,33501.54,55961.90006046,BTC/USD
2021-05-20,36735.44,40623.33,42605.0,35000.0,51445.79735691,BTC/USD
2021-05-19,42865.05,36731.75,43591.7,30000.0,109537.24233282,BTC/USD
2021-05-18,43571.89,42857.15,45851.0,42300.0,28210.30024018,BTC/USD
2021-05-17,46450.78,43580.5,46646.15,42101.0,43660.22208427,BTC/USD
2021-05-16,46771.01,46450.79,49808.28,43825.0,30655.33064729,BTC/USD
2021-05-15,49893.48,46775.51,50730.58,46573.0,21936.11454712,BTC/USD
2021-05-14,49682.28,49893.48,51569.56,48895.0,21987.79362448,BTC/USD
2021-05-13,49498.76,49690.11,52500.0,46000.0,42250.08740789,BTC/USD
2021-05-12,56753.19,49498.77,58041.0,48500.0,29660.84273553,BTC/USD
2021-05-11,55866.38,56753.19,56962.07,54511.48,15446.63591676,BTC/USD
2021-05-10,58313.84,55866.41,59592.2,53600.0,24647.23540718,BTC/USD
2021-05-09,58958.06,58312.57,59300.52,56265.3,17169.72318523,BTC/USD
2021-05-08,57380.39,58958.05,59559.84,56980.01,15374.94442964,BTC/USD
2021-05-07,56444.82,57380.39,58735.95,55300.0,18323.8958022,BTC/USD
2021-05-06,57515.69,56440.66,58400.0,55288.0,18244.13605211,BTC/USD
2021-05-05,53241.91,57515.69,57980.86,52913.02,22918.90458572,BTC/USD
2021-05-04,57212.73,53241.92,57247.24,53057.7,23492.0586849,BTC/USD
2021-05-03,56625.21,57212.73,58986.0,56500.0,15165.00648795,BTC/USD
2021-05-02,57859.28,56625.2,57972.26,56072.0,7647.62578087,BTC/USD
2021-05-01,57798.77,57859.28,58550.0,57050.94,10787.04933216,BTC/USD
2021-04-30,53580.0,57798.77,58075.01,53068.43,16536.33288912,BTC/USD
2021-04-29,54889.81,53580.0,55226.86,52369.61,14592.31688772,BTC/USD
2021-04-28,55069.61,54894.03,56476.17,53887.0,16484.33677655,BTC/USD
2021-04-27,54047.8,55069.62,55509.39,53321.0,13957.08649512,BTC/USD
2021-04-26,49121.0,54053.6,54400.0,48817.62,18005.22399425,BTC/USD
